,0,1,2,3,4,5,6,7,8,9,10,11
151,1653,Maska,2020,,6.0,,1,0,1,0,Chuck Russell,101.0
152,1654,Mike Birbiglia: What I Should Have Said Was Nothing,2008,,7.6,,1,0,1,0,,60.0
153,1660,Return to the 36th Chamber,1980,18+,7.0,,1,0,1,0,Chia-Liang Liu,99.0
154,1706,Ghayal,1990,18+,7.6,,1,0,1,0,Rajkumar Santoshi,163.0
155,1716,Ready,2011,,4.7,30%,1,0,1,0,Anees Bazmee,145.0
156,1717,ABCD,2013,13+,6.3,,1,0,1,0,Krutin Patel,105.0
157,1718,300 Miles to Heaven,1989,,7.2,,1,0,1,0,Maciej Dejczer,90.0
158,1729,Marc Maron: Thinky Pain,2013,,7.4,,1,0,1,0,Lance Bangs,95.0
159,1734,Why We Fight: Prelude to War,1942,,7.0,,1,0,1,0,"Frank Capra,Anatole Litvak",52.0
160,1742,The Battle of Midway,1942,7+,6.1,,1,0,1,0,Jack Smight,132.0
161,1748,Legendary Weapons of China,1982,18+,7.0,,1,0,1,0,Chia-Liang Liu,109.0
162,1750,1920,2008,,6.4,,1,0,1,0,Vikram Bhatt,138.0
163,1758,End Game,2018,,7.1,,1,0,1,0,Andy Cheng,93.0
164,1760,Love on Delivery,1994,16+,6.9,,1,0,1,0,Lik-Chi Lee,100.0
165,1762,Eerie,2018,,4.7,,1,0,1,0,Mikhail Red,101.0
166,1788,Deewana,1992,,6.8,,1,0,1,0,Raj Kanwar,185.0
167,1805,Pa Paandi,2017,,7.6,,1,0,1,0,Dhanush,125.0
168,1821,Jeff Dunham: Minding the Monsters,2012,13+,7.1,,1,0,1,0,"Manny Rodriguez,Matthew McNeil",80.0
169,1829,Jeff Dunham: All Over the Map,2014,13+,7.1,,1,0,1,0,Rob Dipple,83.0
170,1833,93 Days,2016,,6.0,,1,0,1,0,Steve Gukas,118.0
171,1840,Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,2011,,8.5,,1,0,1,0,,
172,1849,Sam Kinison: Breaking the Rules,1987,18+,7.3,,1,0,1,0,Walter C. Miller,50.0
173,1888,Ho Mann Jahaan,2015,7+,7.2,,1,0,1,0,"Asim Raza,Bilawal Hussain Abbasi,Shaan Sheikh,Shehrazade Sheikh",170.0
174,1893,Wrong No.,2015,,6.7,,1,0,1,0,Yasir Nawaz,133.0
175,1902,San Pietro,1945,,6.6,,1,0,1,0,John Huston,32.0
176,1906,Once Again,2019,,7.1,,1,0,1,0,Kanwal Sethi,101.0
177,1908,The Mistress,2012,13+,6.3,,1,0,1,0,Olivia M. Lamasan,125.0
178,1929,The Love Guru,2008,13+,3.8,14%,1,0,1,0,Marco Schnabel,87.0
179,1942,Why We Fight: The Battle of Russia,1943,,7.1,,1,0,1,0,"Frank Capra,Anatole Litvak",83.0
180,1943,In the Shadow of Iris,2016,18+,6.1,,1,0,1,0,Jalil Lespert,99.0
181,1967,Taramani,2017,,7.5,,1,0,1,0,Ram,150.0
182,1976,Kis Kisko Pyaar Karoon,2015,13+,5.7,,1,0,1,0,"Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla",133.0
183,1986,Puriyaatha Puthir,2017,,6.6,,1,0,1,0,Ranjit Jeyakodi,140.0
184,2010,Ferrari Ki Sawaari,2012,all,6.4,,1,0,1,0,Rajesh Mapuskar,140.0
185,2017,Mother,2016,,5.6,,1,1,1,0,Darren Aronofsky,121.0
186,2030,Blood Money,2017,18+,4.4,50%,1,0,1,0,Lucky McKee,100.0
187,2051,Tunisian Victory,1944,,6.6,,1,0,1,0,"Frank Capra,Hugh Stewart,John Huston",75.0
188,2097,Pizza,2014,,6.2,,1,0,1,0,Karthik Subbaraj,127.0
189,2115,Whitney Cummings: Money Shot,2010,18+,6.3,,1,0,1,0,John Fortenberry,48.0
190,2121,The Bare-Footed Kid,1993,18+,6.5,,1,0,1,0,"Johnnie To,Patrick Leung,Johnny Mak",90.0
191,2130,Tim Minchin: So F**king Rock Live,2008,,8.1,,1,0,1,0,Matt Askem,127.0
192,2149,6-5=2,2013,,6.0,,1,0,1,0,Swarna Latha,105.0
193,2162,The Flying Guillotine,1975,18+,6.7,,1,0,1,0,Meng Hua Ho,105.0
194,2201,Nothing to Lose,2018,7+,5.5,,1,0,1,0,Steve Oedekerk,98.0
195,2204,Thunderbolt,1947,,6.6,,1,0,1,0,Michael Cimino,115.0
196,2216,The Mad Monk,1993,,6.2,,1,0,1,0,"Siu-Tung Ching,Johnnie To",89.0
197,2218,Kaalia,1981,all,6.8,,1,0,1,0,Tinnu Anand,157.0
198,2227,Line Walker,2016,,6.1,,1,0,1,0,Jazz Boon,109.0
199,2296,The Recall,2017,18+,4.3,,1,0,1,0,Mauro Borrelli,90.0
200,2305,Naan Sigappu Manithan,2014,,6.5,,1,0,1,0,Thiru,149.0
201,2308,Truth or Dare,2017,16+,5.0,,1,0,1,0,Jeff Wadlow,100.0
202,2324,Lionheart,2018,,5.6,,1,0,1,0,Sheldon Lettich,108.0
203,2337,Vodka Diaries,2018,,5.6,,1,0,1,0,Kushal Srivastava,120.0
204,2371,Dance Flick,2009,13+,3.5,18%,1,0,1,0,Damien Dante Wayans,83.0
205,2375,The Trap,2019,,4.3,,1,0,1,0,Stanley Kubrick,62.0
206,2385,Jacob's Ladder,2019,18+,3.4,5%,1,0,1,0,Adrian Lyne,113.0
207,2387,Unchained: The Untold Story of Freestyle Motocross,2016,,7.9,,1,0,1,0,"Paul Taublieb,Jon Freeman",92.0
208,2388,The Great Gambler,1979,all,6.5,,1,0,1,0,Shakti Samanta,105.0
209,2393,Colin Quinn: Unconstitutional,2015,,7.1,,1,0,1,0,Jay Chapman,55.0
210,2396,Hide and Seek,2016,,5.9,,1,0,1,0,John Polson,101.0
211,2404,Bhouri,2017,13+,6.7,,1,0,1,0,Jasbir Bhaati,140.0
212,2423,Tahaan,2008,,7.1,,1,0,1,0,Santosh Sivan,97.0
213,2425,Jail,2009,,6.2,,1,0,1,0,Madhur Bhandarkar,131.0
214,2432,Judwaa,1997,,6.0,,1,0,1,0,David Dhawan,138.0
215,2441,Santa Girl,2019,,5.0,,1,0,1,0,Blayne Weaver,90.0
216,2476,Temple,2017,18+,3.6,27%,1,0,1,0,,
217,2489,Animales sin collar,2018,13+,5.0,,1,0,1,0,Jota Linares,96.0
218,2500,The Negro Soldier,1944,,5.9,,1,0,1,0,Stuart Heisler,43.0
219,2514,My Way: The Rise and Fall of Silvio Berlusconi,2016,,6.3,,1,0,1,0,Antongiulio Panizzi,98.0
220,2522,Disciples of the 36th Chamber,1985,18+,6.5,,1,0,1,0,Chia-Liang Liu,90.0
221,2524,Zubaan,2016,,6.1,83%,1,0,1,0,Mozez Singh,115.0
222,2527,Children of God,1994,,6.3,,1,0,1,0,John Smithson,63.0
223,2530,Rebirth,2016,18+,5.0,,1,0,1,0,Karl Mueller,100.0
224,2535,Darna Mana Hai,2003,,6.3,,1,0,1,0,Prawaal Raman,121.0
225,2538,Maria Bamford: The Special Special Special!,2012,18+,6.9,,1,0,1,0,Jordan Brady,49.0
226,2541,The Tigers of Scotland,2017,,6.6,,1,0,1,0,Leanne Gater,55.0
227,2542,Hero,1997,18+,6.3,,1,0,1,0,Yimou Zhang,120.0
228,2551,The Set Up,2019,,4.4,,1,0,1,0,"Andrey Konchalovskiy,Albert Magnoli",104.0
229,2555,Compulsion,2016,18+,3.7,,1,0,1,0,Craig Goodwill,84.0
230,2565,My True Friend,2012,16+,6.5,,1,0,1,0,Atsajun Sattakovit,103.0
231,2572,Maine Pyaar Kyun Kiya?,2005,7+,5.6,,1,0,1,0,David Dhawan,145.0
232,2583,Interview with a Serial Killer,2008,13+,5.9,,1,0,1,0,Christopher Martin,44.0
233,2590,Monster Island,2017,7+,4.8,18%,1,0,1,0,Mark Atkins,89.0
234,2616,Convict,2014,,5.3,,1,0,1,0,"David Field and George Basha,George Basha",110.0
235,2621,Nightmare in Columbia County,1991,,5.9,,1,0,1,0,Roger Young,100.0
236,2636,D.L. Hughley: Clear,2014,,6.7,,1,0,1,0,Jay Chapman,60.0
237,2639,Ankur Arora Murder Case,2013,13+,6.5,,1,0,1,0,Sohail Tatari,129.0
238,2641,Water,2013,13+,6.8,,1,0,1,0,Deepa Mehta,117.0
239,2646,Barah Aana,2009,18+,6.8,,1,0,1,0,Raja Menon,97.0
240,2647,Happy Go Lucky,2014,,6.5,,1,0,1,0,Mike Leigh,118.0
241,2657,Veerappan,2016,13+,5.3,,1,0,1,0,Ram Gopal Varma,125.0
242,2660,Planetarium,2016,,4.6,16%,1,0,1,0,Rebecca Zlotowski,105.0
243,2666,Report from the Aleutians,1943,,6.4,,1,0,1,0,John Huston,47.0
244,2669,Jonah,2016,,5.3,,1,0,1,0,Lô Politi,90.0
245,2683,Dear Dad,2016,,6.4,29%,1,0,1,0,Tanuj Bhramar,95.0
246,2684,I Am Vengeance,2018,18+,4.3,38%,1,0,1,0,Ross Boyask,92.0
247,2689,Chhota Bheem Kung Fu Dhamaka,2019,all,6.4,,1,0,1,0,"Rajiv Chilaka,Binayak Das",97.0
248,2691,Elaan,1971,,5.9,,1,0,1,0,Guddu Dhanoa,146.0
249,2699,Thank You,2011,,4.7,,1,0,1,0,Anees Bazmee,125.0
250,2708,Hunting Season,2017,,6.3,,1,0,1,0,Yavuz Turgul,140.0
