,0,1,2,3,4,5,6,7,8,9,10,11
101,16281,Alice in Wonderland,1951,all,7.4,81%,0,0,0,1,Tim Burton,108.0
102,16282,Peter Pan,1953,all,7.3,80%,0,0,0,1,P.J. Hogan,113.0
103,16283,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7+,6.9,76%,0,0,0,1,Andrew Adamson,143.0
104,16284,Miracle on 34th Street,1947,all,7.9,96%,0,0,0,1,George Seaton,96.0
105,16285,Pirates of the Caribbean: At World's End,2007,13+,7.1,44%,0,0,0,1,Gore Verbinski,169.0
106,16286,The Many Adventures of Winnie the Pooh,1977,all,7.6,100%,0,0,0,1,"John Lounsbery,Wolfgang Reitherman,Ben Sharpsteen",74.0
107,16287,Star Wars: Episode II - Attack of the Clones,2002,7+,6.5,65%,0,0,0,1,George Lucas,142.0
108,16288,The Muppet Movie,1979,all,7.6,88%,0,0,0,1,James Frawley,95.0
109,16289,Mickey's Christmas Carol,1983,all,8.0,100%,0,0,0,1,Burny Mattinson,26.0
110,16290,Star Wars: Episode I - The Phantom Menace,1999,7+,6.5,53%,0,0,0,1,George Lucas,136.0
111,16291,Cool Runnings,1993,7+,7.0,76%,0,0,0,1,Jon Turteltaub,98.0
112,16292,The Parent Trap,1998,7+,6.5,86%,0,0,0,1,Nancy Meyers,128.0
113,16293,The Muppet Christmas Carol,1992,all,7.7,75%,0,0,0,1,Brian Henson,85.0
114,16294,Treasure Planet,2002,7+,7.2,69%,0,0,0,1,"Ron Clements,John Musker",95.0
115,16295,The Fox and the Hound,1981,all,7.3,70%,0,0,0,1,"Ted Berman,Richard Rich,Art Stevens,David Hand,Wolfgang Reitherman",83.0
116,16296,Holes,2003,7+,7.0,78%,0,0,0,1,Andrew Davis,117.0
117,16297,Pete's Dragon,2016,7+,6.7,88%,0,0,0,1,David Lowery,102.0
118,16298,The Good Dinosaur,2015,7+,6.7,76%,0,0,0,1,Peter Sohn,93.0
119,16299,Frankenweenie,2012,7+,6.9,87%,0,0,0,1,Tim Burton,87.0
120,16300,Tron,1982,7+,6.8,74%,0,0,0,1,Joseph Kosinski,125.0
121,16301,Winnie the Pooh,2011,all,7.2,91%,0,0,0,1,Marc Forster,104.0
122,16302,TRON: Legacy,2010,7+,6.8,51%,0,0,0,1,Joseph Kosinski,125.0
123,16303,The Sword in the Stone,1963,all,7.2,67%,0,0,0,1,"Wolfgang Reitherman,Clyde Geronimi,David Hand",79.0
124,16304,The Aristocats,1970,all,7.1,66%,0,0,0,1,Wolfgang Reitherman,78.0
125,16305,Cars 3,2017,all,6.7,70%,0,0,0,1,Brian Fee,102.0
126,16306,Queen of Katwe,2016,7+,7.4,93%,0,0,0,1,Mira Nair,124.0
127,16307,Homeward Bound: The Incredible Journey,1993,all,6.9,87%,0,0,0,1,Duwayne Dunham,84.0
128,16308,Maleficent: Mistress of Evil,2019,7+,6.6,40%,0,0,0,1,Joachim Rønning,119.0
129,16309,Before the Flood,2016,7+,8.3,74%,0,0,0,1,Fisher Stevens,96.0
130,16310,The Chronicles of Narnia: Prince Caspian,2008,7+,6.5,66%,0,0,0,1,Andrew Adamson,150.0
131,16311,The Great Mouse Detective,1986,all,7.2,79%,0,0,0,1,"Ron Clements,Burny Mattinson,David Michener,John Musker",74.0
132,16312,Flight of the Navigator,1986,7+,6.9,83%,0,0,0,1,Randal Kleiser,90.0
133,16313,James and the Giant Peach,1996,7+,6.7,91%,0,0,0,1,Henry Selick,79.0
134,16314,Willow,1988,7+,7.3,50%,0,0,0,1,Ron Howard,126.0
135,16315,Meet the Robinsons,2007,all,6.8,67%,0,0,0,1,Stephen J. Anderson,95.0
136,16316,Star Wars: Episode III - Revenge of the Sith,2005,13+,7.5,,0,0,0,1,George Lucas,140.0
137,16317,Fantasia 2000,1999,all,7.2,81%,0,0,0,1,"James Algar,Gaëtan Brizzi,Paul Brizzi,Hendel Butoy,Francis Glebas,Eric Goldberg,Don Hahn,Pixote Hunt",75.0
138,16318,Tinker Bell,2008,all,6.8,100%,0,0,0,1,Bradley Raymond,78.0
139,16319,The Rescuers,1977,all,6.9,80%,0,0,0,1,"John Lounsbery,Wolfgang Reitherman,Art Stevens",78.0
140,16320,Eight Below,2006,7+,7.3,72%,0,0,0,1,Frank Marshall,120.0
141,16321,Invincible,2006,7+,7.1,72%,0,0,0,1,Angelina Jolie,137.0
142,16322,Sister Act,1992,7+,6.4,73%,0,0,0,1,Emile Ardolino,100.0
143,16323,John Carter,2012,13+,6.6,52%,0,0,0,1,Andrew Stanton,132.0
144,16324,Freaky Friday,2003,7+,6.1,88%,0,0,0,1,Mark Waters,97.0
145,16325,The Santa Clause,1994,7+,6.5,71%,0,0,0,1,John Pasquin,97.0
146,16326,Descendants,2015,all,6.4,90%,0,0,0,1,Kenny Ortega,112.0
147,16327,Old Yeller,1957,all,7.3,100%,0,0,0,1,Robert Stevenson,83.0
148,16328,"Honey, I Shrunk the Kids",1989,7+,6.3,75%,0,0,0,1,Joe Johnston,93.0
149,16329,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,all,7.4,100%,0,0,0,1,"Robert Hughes,Dan Povenmire,Jay Lender,Jeff 'Swampy' Marsh,Kyle Menke",78.0
150,16330,Pirates of the Caribbean: On Stranger Tides,2011,13+,6.6,33%,0,0,0,1,Rob Marshall,137.0
151,16331,The BFG,2016,7+,6.4,75%,0,0,0,1,Steven Spielberg,117.0
152,16332,The Princess Diaries,2001,all,6.3,48%,0,0,0,1,Garry Marshall,111.0
153,16333,National Treasure: Book of Secrets,2007,7+,6.5,36%,0,0,0,1,Jon Turteltaub,124.0
154,16334,The Finest Hours,2016,13+,6.8,64%,0,0,0,1,Craig Gillespie,117.0
155,16335,DuckTales: The Movie - Treasure of the Lost Lamp,1990,all,6.9,88%,0,0,0,1,Bob Hathcock,74.0
156,16336,A Goofy Movie,1995,all,6.8,59%,0,0,0,1,Kevin Lima,78.0
157,16337,The Greatest Game Ever Played,2005,7+,7.4,63%,0,0,0,1,Bill Paxton,120.0
158,16338,The Lion King 1½,2004,all,6.5,78%,0,0,0,1,Bradley Raymond,77.0
159,16339,The Lion King II: Simba's Pride,1998,all,6.5,62%,0,0,0,1,"Darrell Rooney,Rob LaDuca",81.0
160,16340,The Adventures of Ichabod and Mr. Toad,1949,7+,7.0,93%,0,0,0,1,"James Algar,Clyde Geronimi,Jack Kinney",68.0
161,16341,Tinker Bell and the Lost Treasure,2009,all,6.7,100%,0,0,0,1,Klay Hall,81.0
162,16342,Bedknobs and Broomsticks,1971,all,7.1,65%,0,0,0,1,"Robert Stevenson,Ward Kimball",117.0
163,16343,Hocus Pocus,1993,7+,6.9,34%,0,0,0,1,Kenny Ortega,96.0
164,16344,Secretariat,2010,7+,7.2,63%,0,0,0,1,Randall Wallace,123.0
165,16345,Darby O'Gill and the Little People,1959,all,7.2,100%,0,0,0,1,Robert Stevenson,93.0
166,16346,Muppet Treasure Island,1996,all,7.0,73%,0,0,0,1,"Brian Henson,David Lane",99.0
167,16347,The Rescuers Down Under,1990,all,6.9,69%,0,0,0,1,"Hendel Butoy,Mike Gabriel",77.0
168,16348,The Rocketeer,1991,7+,6.5,65%,0,0,0,1,Joe Johnston,108.0
169,16349,High School Musical,2006,all,5.4,63%,0,0,0,1,Kenny Ortega,98.0
170,16350,Atlantis: The Lost Empire,2001,7+,6.9,49%,0,0,0,1,"Gary Trousdale,Kirk Wise",95.0
171,16351,The Great Muppet Caper,1981,all,7.2,76%,0,0,0,1,Jim Henson,97.0
172,16352,Teen Beach Movie,2013,7+,5.9,86%,0,0,0,1,Jeffrey Hornaday,110.0
173,16353,Journey to the Center of the Earth,1959,all,7.0,86%,0,0,0,1,Eric Brevig,93.0
174,16354,Pollyanna,1960,all,7.4,86%,0,0,0,1,David Swift,134.0
175,16355,High School Musical 2,2007,all,5.0,82%,0,0,0,1,Kenny Ortega,104.0
176,16356,Halloweentown,1998,all,6.8,80%,0,0,0,1,Duwayne Dunham,84.0
177,16357,Brother Bear,2003,all,6.8,37%,0,0,0,1,"Aaron Blaise,Robert Walker",85.0
178,16358,Millions,2004,13+,6.9,88%,0,0,0,1,Danny Boyle,98.0
179,16359,Muppets Most Wanted,2014,7+,6.4,80%,0,0,0,1,James Bobin,107.0
180,16360,The Journey of Natty Gann,1985,7+,7.1,100%,0,0,0,1,Jeremy Kagan,101.0
181,16361,Secret of the Wings,2012,all,7.1,60%,0,0,0,1,"Roberts Gannaway,Peggy Holmes",75.0
182,16362,Cars 2,2011,all,6.1,39%,0,0,0,1,"John Lasseter,Bradford Lewis",106.0
183,16363,Tinker Bell and the Great Fairy Rescue,2010,all,6.9,78%,0,0,0,1,Bradley Raymond,76.0
184,16364,Descendants 2,2017,all,6.5,67%,0,0,0,1,Kenny Ortega,111.0
185,16365,Adventures in Babysitting,2016,all,6.0,100%,0,0,0,1,Chris Columbus,102.0
186,16366,Dinosaur,2000,7+,6.5,64%,0,0,0,1,"Eric Leighton,Ralph Zondag",82.0
187,16367,Dumbo,2019,7+,6.3,47%,0,0,0,1,Tim Burton,112.0
188,16368,The Color of Friendship,2000,7+,7.2,100%,0,0,0,1,Kevin Hooks,87.0
189,16369,Oliver & Company,1988,all,6.7,51%,0,0,0,1,George Scribner,74.0
190,16370,Monkey Kingdom,2015,all,7.3,93%,0,0,0,1,"Mark Linfield,Alastair Fothergill",81.0
191,16371,"Davy Crockett, King of the Wild Frontier",1955,all,7.0,100%,0,0,0,1,Norman Foster,93.0
192,16372,The Three Caballeros,1944,all,6.5,82%,0,0,0,1,John Landis,104.0
193,16373,That Darn Cat!,1965,all,6.8,94%,0,0,0,1,Robert Stevenson,116.0
194,16374,African Cats,2011,all,7.6,73%,0,0,0,1,"Keith Scholey,Alastair Fothergill",89.0
195,16375,Newsies,1992,7+,7.0,39%,0,0,0,1,Kenny Ortega,121.0
196,16376,3 Men and a Baby,1987,7+,6.0,75%,0,0,0,1,Leonard Nimoy,102.0
197,16377,Tuck Everlasting,2002,7+,6.6,60%,0,0,0,1,Jay Russell,90.0
198,16378,The Incredible Journey,1963,all,7.1,89%,0,0,0,1,Fletcher Markle,80.0
199,16379,The Love Bug,1968,all,6.5,76%,0,0,0,1,Robert Stevenson,108.0
200,16380,High School Musical 3: Senior Year,2008,all,4.8,64%,0,0,0,1,Kenny Ortega,112.0
201,16381,Return to Oz,1985,7+,6.7,52%,0,0,0,1,Walter Murch,113.0
202,16382,Blackbeard's Ghost,1968,all,6.9,82%,0,0,0,1,Robert Stevenson,106.0
203,16383,Chimpanzee,2012,all,7.2,76%,0,0,0,1,"Alastair Fothergill,Mark Linfield",78.0
204,16384,The Absent-Minded Professor,1961,all,6.8,83%,0,0,0,1,Robert Stevenson,92.0
205,16385,Camp Rock,2008,all,5.2,45%,0,0,0,1,Matthew Diamond,94.0
206,16386,Penguins,2019,all,7.0,92%,0,0,0,1,"Alastair Fothergill,Jeff Wilson",76.0
207,16387,Pooh's Heffalump Movie,2005,all,6.4,80%,0,0,0,1,Frank Nissen,68.0
208,16388,Turner & Hooch,1989,7+,6.2,52%,0,0,0,1,Roger Spottiswoode,97.0
209,16389,Glory Road,2006,7+,7.2,,0,0,0,1,James Gartner,118.0
210,16390,Princess Protection Program,2009,all,5.6,60%,0,0,0,1,Allison Liddi-Brown,90.0
211,16391,Science Fair,2018,7+,7.4,97%,0,0,0,1,"Cristina Costantini,Darren Foster",90.0
212,16392,Greyfriars Bobby: The True Story of a Dog,1961,,7.3,100%,0,0,0,1,Don Chaffey,87.0
213,16393,Diary of a Wimpy Kid,2010,7+,6.2,53%,0,0,0,1,Thor Freudenthal,120.0
214,16394,The Odd Life of Timothy Green,2012,7+,6.6,35%,0,0,0,1,Peter Hedges,105.0
215,16395,Splash,1984,7+,6.2,90%,0,0,0,1,Ron Howard,111.0
216,16396,The Princess Diaries 2: Royal Engagement,2004,all,5.8,26%,0,0,0,1,Garry Marshall,113.0
217,16397,The Black Cauldron,1985,7+,6.4,55%,0,0,0,1,"Ted Berman,Richard Rich",80.0
218,16398,The Game Plan,2007,7+,6.1,28%,0,0,0,1,Andy Fickman,110.0
219,16399,Cinderella III: A Twist in Time,2007,all,5.9,75%,0,0,0,1,Frank Nissen,74.0
220,16400,Waking Sleeping Beauty,2009,7+,7.6,71%,0,0,0,1,Don Hahn,86.0
221,16401,The Tigger Movie,2000,all,6.3,62%,0,0,0,1,Jun Falkenstein,77.0
222,16402,Escape to Witch Mountain,1975,all,6.4,76%,0,0,0,1,John Hough,97.0
223,16403,Timmy Failure: Mistakes Were Made,2020,7+,6.1,88%,0,0,0,1,Tom McCarthy,99.0
224,16404,101 Dalmatians,1996,all,5.7,42%,0,0,0,1,Stephen Herek,103.0
225,16405,The Last Song,2010,7+,6.0,21%,0,0,0,1,Julie Anne Robinson,107.0
226,16406,George of the Jungle,1997,7+,5.5,57%,0,0,0,1,Sam Weisman,92.0
227,16407,Frank and Ollie,1995,7+,7.8,88%,0,0,0,1,Theodore Thomas,89.0
228,16408,The Santa Clause 2,2002,all,5.6,56%,0,0,0,1,Michael Lembeck,104.0
229,16409,Heavyweights,1995,7+,6.6,29%,0,0,0,1,Steven Brill,100.0
230,16410,Ice Princess,2005,all,6.0,52%,0,0,0,1,Tim Fywell,98.0
